OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
19756,2017,Multifamily LR (1-4),Low-Rise Multifamily,Vine Court Apartments,103 Vine St,98121.0,7.0,DOWNTOWN,47.61532,-122.3493,1987,4,1.0,34880,0,0.0,93.0,23.1,22.8,72.7,71.7,948712,936541,0,948712,278051,0,0,3.92,0.113
19757,2017,Multifamily LR (1-4),Low-Rise Multifamily,Oregon Apartments,2305 1st Ave,98121.0,7.0,DOWNTOWN,47.6134,-122.34683,1902,4,1.0,56776,0,0.0,99.0,31.5,30.7,66.0,63.3,1602922,1559932,0,799470,234311,8034,803452,45.98,0.81
19758,2017,Multifamily MR (5-9),Mid-Rise Multifamily,2300 Elliott,2300 Elliott Ave.,98121.0,7.0,DOWNTOWN,47.61245,-122.34836,1990,6,1.0,112676,0,0.0,80.0,43.3,42.7,115.3,113.7,3374574,3328391,0,2601923,762580,7726,772650,51.8,0.46
19766,2017,NonResidential,Worship Facility,(ID19766) ALKI CONGREGATIONAL CHURCH,3400 62ND AVE SW,98116.0,1.0,SOUTHWEST,47.57384,-122.41182,1926,2,1.0,22128,0,0.0,95.0,29.5,28.3,44.4,43.1,653034,626278,0,141479,41465,5115,511554,27.75,1.254
19770,2017,Multifamily LR (1-4),Low-Rise Multifamily,Alki Shores,2104 Alki AVE SW,98116.0,1.0,SOUTHWEST,47.5857,-122.39791,1973,4,1.0,26880,0,0.0,24.0,45.4,45.4,120.0,120.1,1219870,1220240,0,930684,272768,2891,289185,19.21,0.715
19773,2017,Multifamily LR (1-4),Low-Rise Multifamily,Allen Place,800 N ALLEN PL,98103.0,6.0,LAKE UNION,47.661,-122.34839,1987,4,1.0,23098,0,0.0,97.0,22.4,22.3,70.4,70.0,517500,515227,0,517500,151670,0,0,2.14,0.093
19774,2017,NonResidential,Retail Store,Office Depot,13501 Aurora Ave. N.,98133.0,5.0,NORTHWEST,47.72736,-122.34579,1968,1,1.0,48139,0,0.0,97.0,26.3,24.6,53.4,50.6,1053065,982815,0,493295,144576,5597,559770,31.77,0.66
19777,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Linden Square Apartments,13530 Linden Ave N,98133.0,5.0,NORTHWEST,47.72841,-122.3469,1993,5,1.0,214388,0,0.0,97.0,27.3,26.8,85.8,84.3,4679818,4597914,0,4679817,1371576,0,0,19.36,0.09
19780,2017,NonResidential,Other,CDJR of Seattle,13733 Aurora Ave N,98133.0,5.0,NORTHWEST,47.72985,-122.34566,1968,1,1.0,21633,0,0.0,,178.5,172.8,368.1,361.5,3860867,3737511,0,1870792,548297,19900,1990075,113.43,5.243
19781,2017,Multifamily LR (1-4),Low-Rise Multifamily,(ID19781) Amesbury Court Apartments (Bldg C),13739 Linden Ave N,98133.0,5.0,NORTHWEST,47.72925,-122.34834,1990,4,1.0,43228,0,0.0,100.0,25.6,25.2,80.5,79.1,1107562,1088386,0,1107562,324607,0,0,4.58,0.106
