OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
27981,2016,Multifamily LR (1-4),Low-Rise Multifamily,Union 18 Apartments,1140 18th Ave,98122.0,3,CENTRAL,47.61269,-122.3085,1969,3,2.0,37824,0,,79.0,34.79999924,37.0,90.40000153,97.5,1593610,1697676,0.0,1181054,346147.0938,4125.560059,412556,30.14,0.8
27982,2016,NonResidential,Small- and Mid-Sized Office,9620 Stone Ave N,9620 Stone Ave N,98103.0,5,NORTHWEST,47.69898,-122.34162,1982,3,1.0,25111,0,,77.0,43.20000076,48.0,98.0,103.0,954352,1060040,0.0,557279,163329.0,3970.73999,397074,24.97,0.99
27984,2016,Multifamily MR (5-9),Mid-Rise Multifamily,OAKVIEW APTS,9514 STONE AVE N,98103.0,5,NORTHWEST,47.69837,-122.34166,2008,6,1.0,29216,12620,,44.0,21.5,22.70000076,99.19999695,104.0999985,944638,994774,0.0,922718,270433.1875,0.0,0,6.43,0.22
27987,2016,Multifamily LR (1-4),Low-Rise Multifamily,Carolyn Court,9512 Interlake AVE N,98125.0,5,NORTHWEST,47.69829,-122.3405,1989,3,1.0,23448,0,,98.0,23.10000038,24.60000038,72.5,77.30000305,408807,435601,0.0,408807,119814.5,0.0,0,2.85,0.12
28035,2016,Multifamily LR (1-4),Low-Rise Multifamily,Tracy Ann Apartments - north,6790 Murray Ave SW,98136.0,1,SOUTHWEST,47.54093,-122.39431,1964,3,1.0,26498,0,,78.0,26.39999962,28.29999924,82.80000305,88.80000305,683307,732622,0.0,683307,200265.9063,0.0,0,4.76,0.18
27996,2016,Multifamily LR (1-4),Low-Rise Multifamily,THE KENNEY,7125 FAUNTLEROY WAY SW,98136.0,1,SOUTHWEST,47.53888,-122.39201,1951,4,0.0,203155,0,,,35.20000076,36.5,98.40000153,102.4000015,6814269,7060696,0.0,5692544,1668389.25,11217.23926,1121724,99.26,0.49
28001,2016,Multifamily LR (1-4),Low-Rise Multifamily,westwinds,7050 lincoln park way sw,98136.0,1,SOUTHWEST,47.54005,-122.39503,1963,4,1.0,22984,0,,41.0,29.39999962,32.20000076,92.30000305,101.0,675611,739094,0.0,675611,198010.2969,0.0,0,4.71,0.2
28002,2016,Multifamily LR (1-4),Low-Rise Multifamily,Halcyon Apartments CC4R LLC,7060 Lincoln Park Way SW,98136.0,1,SOUTHWEST,47.53986,-122.39469,1968,4,1.0,26342,4878,,97.0,24.5,26.20000076,76.90000153,82.40000153,568381,608683,0.0,568382,166583.0938,0.0,0,3.96,0.15
28006,2016,Multifamily LR (1-4),Low-Rise Multifamily,The Pittsburgh,117 John ST,98109.0,7,MAGNOLIA / QUEEN ANNE,47.61964,-122.35469,1907,3,1.0,24329,0,,66.0,91.80000305,101.0,124.6999969,134.8000031,2233268,2456183,0.0,329117,96458.79688,19041.50977,1904151,103.42,4.25
28007,2016,Multifamily LR (1-4),Low-Rise Multifamily,ADWAS,8623 Roosevelt Way NE,98115.0,5,NORTH,47.69209,-122.31794,2006,4,1.0,29588,0,,,41.40000153,43.70000076,95.5,99.19999695,1242586,1310817,0.0,746790,218871.7031,4957.960449,495796,31.54,1.07
28008,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Plaza del Sol Condominium,1711 E Olive Way,98102.0,3,EAST,47.61944,-122.32318,1993,6,0.0,82519,0,,62.0,47.5,51.59999847,109.3000031,115.3000031,2971013,3225048,0.0,1773800,519871.0938,11972.12988,1197213,75.95,0.92
